Specification,Year,RoundNumber,EventName,Horizon,TwoStage,RecencyHalfLife,PositionVariant,TrainingWindows,ValidationWindows,Features,NoChangePercent,MAE,RMSE,Baseline MAE,Baseline improvement %,Change accuracy,Change Brier score,Change ROC AUC,TrainingSeconds
recency_20,2026,11,Hungarian Grand Prix,5,True,20,full,35092,254,206,40.94488188976378,0.8518356255775422,1.2316734021494002,1.0236220472440944,16.782211962809335,0.7047244094488189,0.20078852686446955,0.7615384615384616,84.69956499990076
recency_80,2019,21,Abu Dhabi Grand Prix,5,True,80,full,7708,185,206,50.27027027027027,1.0327277971914306,1.6547478533853435,1.0702702702702702,3.5077563230228943,0.7027027027027027,0.18745152486697636,0.7878681626928472,45.9097855000291
recency_80,2021,3,Portuguese Grand Prix,5,True,80,full,11476,225,206,58.22222222222222,0.8617978112205413,1.4199275792956954,0.8355555555555556,-3.1406954918200998,0.6622222222222223,0.21500087084858496,0.7066753288939418,45.635349399992265
recency_80,2022,2,Saudi Arabian Grand Prix,5,True,80,full,15497,143,206,52.44755244755245,0.9204661723136152,1.4402646732745759,0.9020979020979021,-2.036172589803853,0.6573426573426573,0.21212849528479993,0.762156862745098,182.68302680004854
recency_80,2022,22,Abu Dhabi Grand Prix,5,True,80,full,19221,194,206,40.72164948453608,1.0297026929180524,1.6530023867288604,1.2835051546391754,19.774167700360582,0.6391752577319587,0.21841162419817162,0.7739130434782608,140.0335383999627
recency_80,2023,20,São Paulo Grand Prix,5,True,80,full,23162,200,206,53.0,0.8322140096704377,1.2736849877157517,0.91,8.54791102522663,0.75,0.1749213361265653,0.8191489361702128,99.58052459999453
recency_80,2024,18,Singapore Grand Prix,5,True,80,full,27101,210,206,55.23809523809524,0.9718544214262449,1.5825053381518073,0.9714285714285714,-0.04383749976050504,0.6904761904761905,0.19512214093101643,0.7688921496698459,84.71242369990796
recency_80,2025,14,Hungarian Grand Prix,5,True,80,full,30894,245,206,49.38775510204081,1.2152842318866064,1.8061274993302832,1.1346938775510205,-7.102387342524658,0.6693877551020408,0.21284098842522553,0.738003199146894,142.2394274000544
recency_80,2026,11,Hungarian Grand Prix,5,True,80,full,35092,254,206,40.94488188976378,0.8617739426819588,1.2675451871452617,1.0236220472440944,15.811314830300942,0.6850393700787402,0.2057561624674607,0.7607051282051283,74.57442830002401
position_current_only,2019,21,Abu Dhabi Grand Prix,5,True,40,current_only,7708,185,198,50.27027027027027,1.0592749803200314,1.6789524999639582,1.0702702702702702,1.0273376973707966,0.6972972972972973,0.18210702811026447,0.8007246376811594,87.08618650003336
position_current_only,2021,3,Portuguese Grand Prix,5,True,40,current_only,11476,225,198,58.22222222222222,0.850023118666418,1.4271096684531779,0.8355555555555556,-1.7314902659276796,0.6622222222222223,0.20660216854859778,0.7278707162579179,72.60292770003434
position_current_only,2022,2,Saudi Arabian Grand Prix,5,True,40,current_only,15497,143,198,52.44755244755245,0.8747803560832842,1.3800958680100932,0.9020979020979021,3.028224093093301,0.6713286713286714,0.20827272120433057,0.77,117.91143820004072
position_current_only,2022,22,Abu Dhabi Grand Prix,5,True,40,current_only,19221,194,198,40.72164948453608,1.024424507414398,1.6415932751640698,1.2835051546391754,20.18539982393847,0.6597938144329897,0.206145742727567,0.8050632911392405,72.93284370005131
position_current_only,2023,20,São Paulo Grand Prix,5,True,40,current_only,23162,200,198,53.0,0.8402350200344404,1.286482215173987,0.91,7.666481314896663,0.735,0.17190479858576388,0.8254716981132076,81.34289999993052
position_current_only,2024,18,Singapore Grand Prix,5,True,40,current_only,27101,210,198,55.23809523809524,0.9809486448770044,1.5826460998752034,0.9714285714285714,-0.9800075608681004,0.6666666666666666,0.19507923196427143,0.7771460014673516,88.00443810003344
position_current_only,2025,14,Hungarian Grand Prix,5,True,40,current_only,30894,245,198,49.38775510204081,1.2356874782311913,1.801509325708169,1.1346938775510205,-8.900515167856781,0.6612244897959184,0.21682798699234912,0.727605971740869,87.96335680002812
position_current_only,2026,11,Hungarian Grand Prix,5,True,40,current_only,35092,254,198,40.94488188976378,0.8662712307573481,1.2689883070508463,1.0236220472440944,15.371964379859063,0.6850393700787402,0.19074665464599952,0.7851923076923076,119.72522509994451
position_prior_lags_only,2019,21,Abu Dhabi Grand Prix,5,True,40,prior_lags_only,7708,185,201,50.27027027027027,1.0444601020488264,1.6920906720309141,1.0702702702702702,2.411556121700555,0.6918918918918919,0.1895461495309201,0.7923094904160823,94.13167520007119
position_prior_lags_only,2021,3,Portuguese Grand Prix,5,True,40,prior_lags_only,11476,225,201,58.22222222222222,0.8565453298641911,1.4188753660696456,0.8355555555555556,-2.512074052895202,0.6711111111111111,0.2142435097838374,0.7136592496345623,137.81957659998443
position_prior_lags_only,2022,2,Saudi Arabian Grand Prix,5,True,40,prior_lags_only,15497,143,201,52.44755244755245,0.9113407435463445,1.419636456487876,0.9020979020979021,-1.0245940520366439,0.6573426573426573,0.21215584132803175,0.748235294117647,128.15746310004033
position_prior_lags_only,2022,22,Abu Dhabi Grand Prix,5,True,40,prior_lags_only,19221,194,201,40.72164948453608,1.0297226290855106,1.6337043520165153,1.2835051546391754,19.772614440727292,0.6855670103092784,0.2119916107356279,0.779746835443038,120.55295760009903
position_prior_lags_only,2023,20,São Paulo Grand Prix,5,True,40,prior_lags_only,23162,200,201,53.0,0.8092814848866632,1.260987079418042,0.91,11.06796869377328,0.765,0.16405371896155366,0.8416298675230831,151.39533620001748
position_prior_lags_only,2024,18,Singapore Grand Prix,5,True,40,prior_lags_only,27101,210,201,55.23809523809524,1.0067251176417216,1.6129263788450257,0.9714285714285714,-3.6334679925301625,0.6952380952380952,0.1899226635176282,0.7994314013206163,123.27570429991465
position_prior_lags_only,2025,14,Hungarian Grand Prix,5,True,40,prior_lags_only,30894,245,201,49.38775510204081,1.2248209213467447,1.8046373306694277,1.1346938775510205,-7.942850981997278,0.6653061224489796,0.214978468032493,0.73287123433751,100.18585410004016
position_prior_lags_only,2026,11,Hungarian Grand Prix,5,True,40,prior_lags_only,35092,254,201,40.94488188976378,0.8808826028449029,1.2824948420324023,1.0236220472440944,13.944545722074862,0.7125984251968503,0.1967446856176077,0.7686538461538462,104.20393049996346
position_none,2019,21,Abu Dhabi Grand Prix,5,True,40,none,7708,185,197,50.27027027027027,1.0065140303982096,1.6647449783148314,1.0702702702702702,5.957022412288489,0.7081081081081081,0.18506477427131843,0.7978027115474521,67.10906510008499
position_none,2021,3,Portuguese Grand Prix,5,True,40,none,11476,225,197,58.22222222222222,0.89392929493009,1.5064338500368346,0.8355555555555556,-6.986218808122466,0.6355555555555555,0.21388467405099507,0.7092739970764983,86.01984339999035
