Year,RoundNumber,EventName,TrainingRaces,TrainingWindows,ValidationWindows,FeaturesUsed,MAE,RMSE,Baseline MAE,Baseline improvement %,TrainingSeconds
2019,21,Abu Dhabi Grand Prix,40,7708,185,148,1.0433777577484828,1.6460216465405977,1.0702702702702702,2.5126842507730625,20.044318200089037
2020,1,Austrian Grand Prix,41,7893,182,148,2.1023136510326283,3.343837782515394,2.0824175824175826,-0.955431263308267,17.388968299957924
2020,2,Styrian Grand Prix,42,8075,223,148,0.9192329668188154,1.337620897298864,0.7757847533632287,-18.490723468552503,17.26507990004029
2020,3,Hungarian Grand Prix,43,8298,235,148,0.8172519612267685,1.2264887419678003,0.625531914893617,-30.6491230532589,15.927942299982533
2020,4,British Grand Prix,44,8533,154,148,0.771549280208746,1.3963312176927072,0.6428571428571429,-20.018776921360484,15.967020699987188
2020,5,70th Anniversary Grand Prix,45,8687,178,148,1.4387208810520387,2.079891011734635,1.5393258426966292,6.53565079296975,17.322553499951027
2020,6,Spanish Grand Prix,46,8865,232,148,1.0841873964299062,1.679147660945214,1.1853448275862069,8.534008737549724,16.747175800031982
2020,7,Belgian Grand Prix,47,9097,119,148,0.8762394819827297,1.5580513742226532,0.8487394957983193,-3.2400973821236025,15.300814000074752
2020,8,Italian Grand Prix,48,9216,154,148,1.5178087233332485,2.8049356355756436,1.448051948051948,-4.8172840328790425,17.065443300059997
2020,9,Tuscan Grand Prix,49,9370,127,148,0.8360643518091362,1.316333479530671,0.8740157480314961,4.342186774990725,15.666639799950644
2020,10,Russian Grand Prix,50,9497,162,148,1.0429079537104897,1.5737209721869276,1.0740740740740742,2.901673275230277,15.845782699994743
2020,11,Eifel Grand Prix,51,9659,181,148,1.218199702825955,1.9651802590145864,1.425414364640884,14.537152631202375,16.820191800012253
2020,12,Portuguese Grand Prix,52,9840,235,148,1.15302393325309,2.0195804386985987,1.2936170212765958,10.868215686027584,14.842924500000663
2020,13,Emilia Romagna Grand Prix,53,10075,195,148,1.3763160577708722,2.1725790497951896,1.3025641025641026,-5.6620595532756175,16.832663000095636
2020,14,Turkish Grand Prix,54,10270,185,148,1.0362686122653109,1.6283502306354507,1.0054054054054054,-3.0697275640228603,14.821584799909033
2020,15,Bahrain Grand Prix,55,10455,179,148,1.20798267689184,1.7150783158194411,1.4692737430167597,17.7836885309356,17.105299700051546
2020,16,Sakhir Grand Prix,56,10634,281,148,1.1965156288215255,1.7242664954860594,1.0427046263345197,-14.751157576398853,16.026852300041355
2020,17,Abu Dhabi Grand Prix,57,10915,181,148,0.6974154080265699,1.1088332933945846,0.6629834254143646,-5.193490710674293,14.931206100038253
2021,1,Bahrain Grand Prix,58,11096,183,148,1.2269469431525417,1.8335081577304961,1.5027322404371584,18.352257964758127,15.383477800060064
2021,2,Emilia Romagna Grand Prix,59,11279,197,148,0.8673097792827521,1.5028365817195368,0.7106598984771574,-22.042876084787256,14.796047799987718
2021,3,Portuguese Grand Prix,60,11476,225,148,0.903903229012176,1.4713086360514942,0.8355555555555556,-8.179907727521059,14.02091299998574
2021,4,Spanish Grand Prix,61,11701,226,148,1.0633230564172542,1.644945829026561,1.0973451327433628,3.1003988910082785,16.00054789998103
2021,5,Monaco Grand Prix,62,11927,257,148,0.4932053204367514,0.7563472122163182,0.25680933852140075,-92.05116265491685,15.013651299988851
2021,6,Azerbaijan Grand Prix,63,12184,164,148,1.3822633060947191,2.2126284280915502,1.2804878048780488,-7.948181999778065,15.831080199917778
2021,7,French Grand Prix,64,12348,180,148,1.184786392765787,1.8534880762423294,1.3666666666666667,13.30831272445462,16.894839399959892
2021,8,Styrian Grand Prix,65,12528,237,148,0.9402749165982531,1.439386925955539,0.7046413502109705,-33.440212714841905,18.422697699978016
2021,9,Austrian Grand Prix,66,12765,245,148,1.086122508198126,1.9495643881923996,1.0857142857142856,-0.03759943930109185,18.152942800079472
2021,10,British Grand Prix,67,13010,169,148,0.939809505946481,1.4055179389672574,0.7928994082840237,-18.528213809668124,17.85266730003059
2021,11,Hungarian Grand Prix,68,13179,178,148,0.6466034473876919,0.9297453367832718,0.4606741573033708,-40.36026053049897,17.224684600019827
