Feature,MissingCount,MissingPercent
Position_lag4,0,0.0
AirTemp_lag3,0,0.0
TrackTemp_lag1,0,0.0
TrackTemp_lag0,0,0.0
AirTemp_lag4,0,0.0
AirTemp_lag1,0,0.0
AirTemp_lag2,0,0.0
AirTemp_lag0,0,0.0
TrackTemp_lag2,0,0.0
Rainfall_lag4,0,0.0
Rainfall_lag3,0,0.0
Rainfall_lag2,0,0.0
Rainfall_lag1,0,0.0
TrackTemp_lag4,0,0.0
Rainfall_lag0,0,0.0
TrackTemp_lag3,0,0.0
Position_mean5,0,0.0
Position_std5,0,0.0
Position_trend5,0,0.0
GapToLeaderSeconds_trend5,0,0.0
GapToLeaderSeconds_mean5,0,0.0
GapToLeaderSeconds_std5,0,0.0
TrackTemp_mean5,0,0.0
TrackTemp_std5,0,0.0
TrackTemp_trend5,0,0.0
