Configuration,Year,RoundNumber,EventName,Windows,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,MAE,RMSE,Baseline MAE,Baseline improvement %,TrainingSeconds
small_trees,2022,9,Canadian Grand Prix,231,0.08,150,15,,30,1.0,0.9464049563649628,1.5007629850769681,0.7792207792207793,-21.455302733503554,9.388556099962443
small_trees,2022,20,Mexico City Grand Prix,253,0.08,150,15,,30,1.0,0.826537620355633,1.2522687977539,0.8063241106719368,-2.5068715441054708,9.19202309998218
small_trees,2023,10,British Grand Prix,166,0.08,150,15,,30,1.0,1.0329307969193324,1.5021194051447784,0.9518072289156626,-8.523109043423538,10.060655800043605
small_trees,2023,22,Abu Dhabi Grand Prix,200,0.08,150,15,,30,1.0,1.6752885876394685,2.555264565622911,2.15,22.079600574908437,11.002975499955937
small_trees,2024,12,British Grand Prix,167,0.08,150,15,,30,1.0,0.7777200459459208,1.1729725129059514,0.5449101796407185,-42.72444799227339,11.320123700075783
small_trees,2024,24,Abu Dhabi Grand Prix,179,0.08,150,15,,30,1.0,1.2676901421281408,1.8701222066027763,1.2737430167597765,0.4752037539749103,11.255465100053698
shallow,2019,21,Abu Dhabi Grand Prix,185,0.08,175,31,6,30,1.0,1.0408912635235583,1.656864868511052,1.0702702702702702,2.7450082061321726,8.652973899967037
shallow,2020,11,Eifel Grand Prix,181,0.08,175,31,6,30,1.0,1.2208489422097992,1.9225523758081924,1.425414364640884,14.351295139545087,9.041080900002271
shallow,2021,6,Azerbaijan Grand Prix,164,0.08,175,31,6,30,1.0,1.3567179959811329,2.19432064289226,1.2804878048780488,-5.953214924240849,9.608387800049968
shallow,2021,19,São Paulo Grand Prix,248,0.08,175,31,6,30,1.0,0.8438609372325496,1.386644683015956,0.8911290322580645,5.304293016437868,10.071553500019945
shallow,2022,9,Canadian Grand Prix,231,0.08,175,31,6,30,1.0,0.9560240476364356,1.5499994327005573,0.7792207792207793,-22.689752780009226,10.14258909993805
shallow,2022,20,Mexico City Grand Prix,253,0.08,175,31,6,30,1.0,0.8337391354935646,1.2574602715013545,0.8063241106719368,-3.4000006273881573,10.857206100015901
shallow,2023,10,British Grand Prix,166,0.08,175,31,6,30,1.0,1.1239552836983484,1.5384066938109537,0.9518072289156626,-18.086441198687243,11.039602900040336
shallow,2023,22,Abu Dhabi Grand Prix,200,0.08,175,31,6,30,1.0,1.6830878226986095,2.5604398577126273,2.15,21.716845455878627,11.178414699970745
shallow,2024,12,British Grand Prix,167,0.08,175,31,6,30,1.0,0.765354250380995,1.1552736022185435,0.5449101796407185,-40.45512067431448,11.641536199953407
shallow,2024,24,Abu Dhabi Grand Prix,179,0.08,175,31,6,30,1.0,1.2722440512942632,1.8590565373430672,1.2737430167597765,0.11768193786266802,11.954974199994467
large_leaves,2019,21,Abu Dhabi Grand Prix,185,0.1,125,31,,60,1.0,1.0806977608488284,1.6818718269667041,1.0702702702702702,-0.974285735875386,8.694048700039275
large_leaves,2020,11,Eifel Grand Prix,181,0.1,125,31,,60,1.0,1.2038129940227578,1.9325442739096412,1.425414364640884,15.546452744915051,8.990886599989608
large_leaves,2021,6,Azerbaijan Grand Prix,164,0.1,125,31,,60,1.0,1.4129018465294358,2.2484535558704226,1.2804878048780488,-10.340906109917844,9.574646899942309
large_leaves,2021,19,São Paulo Grand Prix,248,0.1,125,31,,60,1.0,0.8323068741887599,1.3670127853749718,0.8911290322580645,6.600857557098432,9.805050199967809
large_leaves,2022,9,Canadian Grand Prix,231,0.1,125,31,,60,1.0,0.9769150462918882,1.5441032030509865,0.7792207792207793,-25.370764274125644,9.939215200021863
large_leaves,2022,20,Mexico City Grand Prix,253,0.1,125,31,,60,1.0,0.8457281325666969,1.2876598700998685,0.8063241106719368,-4.886871342830543,10.241454100003466
large_leaves,2023,10,British Grand Prix,166,0.1,125,31,,60,1.0,1.1531794068516066,1.5711222041575148,0.9518072289156626,-21.156823757827027,10.865439899964258
large_leaves,2023,22,Abu Dhabi Grand Prix,200,0.1,125,31,,60,1.0,1.668606366230225,2.5018115516275405,2.15,22.390401570687203,10.978594399988651
large_leaves,2024,12,British Grand Prix,167,0.1,125,31,,60,1.0,0.7670818519633797,1.1525344968090612,0.5449101796407185,-40.772164041631235,11.293311199988239
large_leaves,2024,24,Abu Dhabi Grand Prix,179,0.1,125,31,,60,1.0,1.2509587855543223,1.8308661131241926,1.2737430167597765,1.7887620113053997,11.66539640002884
strong_regularization,2019,21,Abu Dhabi Grand Prix,185,0.08,150,31,,40,8.0,1.0433777577484828,1.6460216465405977,1.0702702702702702,2.5126842507730625,8.371874399948865
strong_regularization,2020,11,Eifel Grand Prix,181,0.08,150,31,,40,8.0,1.218199702825955,1.9651802590145864,1.425414364640884,14.537152631202375,8.99423419998493
strong_regularization,2021,6,Azerbaijan Grand Prix,164,0.08,150,31,,40,8.0,1.3822633060947191,2.2126284280915502,1.2804878048780488,-7.948181999778065,9.677329000085592
strong_regularization,2021,19,São Paulo Grand Prix,248,0.08,150,31,,40,8.0,0.8524969439286804,1.3913840900533472,0.8911290322580645,4.335184572709171,10.155924799968489
strong_regularization,2022,9,Canadian Grand Prix,231,0.08,150,31,,40,8.0,0.936899975447411,1.5050630520601906,0.7792207792207793,-20.235496849084406,10.404127900023013
strong_regularization,2022,20,Mexico City Grand Prix,253,0.08,150,31,,40,8.0,0.8225875422560616,1.2392328910975852,0.8063241106719368,-2.01698440724685,10.429047599900514
strong_regularization,2023,10,British Grand Prix,166,0.08,150,31,,40,8.0,1.0698608249982153,1.5061601905147528,0.9518072289156626,-12.40309933525554,10.955895900027826
strong_regularization,2023,22,Abu Dhabi Grand Prix,200,0.08,150,31,,40,8.0,1.6350102303360428,2.4721438941387515,2.15,23.953012542509637,10.930089500034228
strong_regularization,2024,12,British Grand Prix,167,0.08,150,31,,40,8.0,0.750921979508431,1.1174029616863423,0.5449101796407185,-37.806561074624156,13.106529299984686
strong_regularization,2024,24,Abu Dhabi Grand Prix,179,0.08,150,31,,40,8.0,1.213206803400509,1.8126013961130194,1.2737430167597765,4.752623768117932,12.02512690005824
fast_boosting,2019,21,Abu Dhabi Grand Prix,185,0.15,100,31,,30,1.0,1.0457073789115576,1.674230888631625,1.0702702702702702,2.2950176269504188,10.508499899995513
fast_boosting,2020,11,Eifel Grand Prix,181,0.15,100,31,,30,1.0,1.186424205388479,1.8780792207015249,1.425414364640884,16.76636388553693,8.983774999971502
fast_boosting,2021,6,Azerbaijan Grand Prix,164,0.15,100,31,,30,1.0,1.3930634274710645,2.2402846812895834,1.2804878048780488,-8.791620050121224,10.792936600046232
fast_boosting,2021,19,São Paulo Grand Prix,248,0.15,100,31,,30,1.0,0.8602212993914327,1.4060043064049486,0.8911290322580645,3.468379072816605,16.18053599994164
fast_boosting,2022,9,Canadian Grand Prix,231,0.15,100,31,,30,1.0,0.9574507001622106,1.5416446830322448,0.7792207792207793,-22.87283985415035,28.292601500055753
fast_boosting,2022,20,Mexico City Grand Prix,253,0.15,100,31,,30,1.0,0.8804114341777577,1.3279500510457483,0.8063241106719368,-9.188280807339556,22.467832900001667
