Year,RoundNumber,EventName,Feature,ImportanceMean,ImportanceStd,FoldMAE,CalculationSeconds
2019,21,Abu Dhabi Grand Prix,DriverNumber,-0.043867430828819165,0.008010311924960553,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Driver,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Team,-0.0003533383988713427,0.0018183088846915041,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Circuit,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Country,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,EventFormat,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,LapNumber,0.00033069827979866534,0.0009655468988324273,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,TotalRaceLaps,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,RaceProgress,0.022210250472584365,0.007702246077028589,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Position,0.2518191700746704,0.02693596352045738,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,GridPosition,-0.0034045693860909054,0.000983267599153392,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,QualifyingPosition,-0.0010024626402975745,0.0011246198186878717,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,QualifyingDeltaToPoleSeconds,-0.002236075190718445,0.005924388028172313,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverSeasonAvgFinish,-0.00309792492276569,0.001393518311068516,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverSeasonMedianFinish,0.003444886781316233,0.0017561971706070913,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverRecent3AvgFinish,-0.0022979367210424297,0.0011878806084653051,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverSeasonBestFinish,0.0006232377886324544,0.00046638845511065585,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverSeasonDNFRate,-0.004301219647413849,0.00043348063733716853,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverSeasonAvgPositionGain,-0.004491460440618766,0.0035722399589953034,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverCircuitAvgFinish,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverCircuitLastFinish,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverCircuitBestFinish,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverCircuitAvgPositionGain,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverCircuitAvgQualifyingPosition,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,DriverCircuitStarts,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,TeamSeasonAvgFinish,0.0035699413035671737,0.0013149782307215606,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,TeamRecent3AvgFinish,0.001267050514885663,0.0012617393265369715,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,TeamSeasonDNFRate,-0.00080462334742711,0.0004761259060604292,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,TeamCircuitAvgFinish,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,TeamCircuitAvgQualifyingPosition,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Stint,-0.0006852732947139802,0.031813957583759496,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Compound,-0.0004742542976659732,0.001129389227957515,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,FreshTyre,0.008236283710423287,0.0036065156668471706,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,TyreLife,-0.012123874157061362,0.010493841639589576,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,TrackStatus,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,PitThisLap,0.002395927523604883,0.0032561780430861555,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,SafetyCarThisLap,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,PitLapsLast5,-0.0034614935299384086,0.0011174009207609785,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,SafetyCarLapsLast5,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,CompoundChangedLast5,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,LapTimeSeconds_lag0,0.002578555606199314,0.00030321300979411326,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,LapTimeSeconds_lag1,0.0023809022626474587,0.0027772393240779202,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,LapTimeSeconds_lag2,0.0006576259314492461,0.000768958330222823,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,LapTimeSeconds_lag3,-0.0002036999905360067,0.00019100109488222067,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,LapTimeSeconds_lag4,0.0007171972096023568,8.03558356095849e-05,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector1Seconds_lag0,-0.0003321292091413852,0.00030280659205153803,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector1Seconds_lag1,0.00022322175312846268,0.00031568323069097075,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector1Seconds_lag2,0.0008559761350819262,0.000554125807423656,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector1Seconds_lag3,0.0004721671149630809,0.00032039193867526534,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector1Seconds_lag4,0.0003759594784492985,0.000814324159896541,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector2Seconds_lag0,-0.0023826135123712344,0.00028738174506013237,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector2Seconds_lag1,0.0,0.0,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector2Seconds_lag2,6.517788742662252e-05,0.0006221562920640922,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector2Seconds_lag3,-0.00020176717994080384,0.00027008794609055384,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector2Seconds_lag4,-0.0015522991892760925,0.00046808874081396255,1.0433777577484828,5.764687299961224
2019,21,Abu Dhabi Grand Prix,Sector3Seconds_lag0,0.0,0.0,1.0433777577484828,5.764687299961224
