Year,RoundNumber,EventName,FeatureGroup,FeaturesDropped,FullModelMAE,AblatedMAE,MAEIncreaseWhenDropped,TrainingSeconds
2019,21,Abu Dhabi Grand Prix,position_state,9,1.0433777577484828,0.960950026869419,-0.08242773087906385,10.66899709997233
2019,21,Abu Dhabi Grand Prix,lap_and_sector_timing,32,1.0433777577484828,1.049173393231861,0.0057956354833781365,6.408774000010453
2019,21,Abu Dhabi Grand Prix,gaps_and_relative_pace,37,1.0433777577484828,1.156487506767043,0.11310974901856019,5.751518300035968
2019,21,Abu Dhabi Grand Prix,driver_and_team_history,15,1.0433777577484828,1.0325415068123318,-0.010836250936151037,9.037349699996412
2019,21,Abu Dhabi Grand Prix,qualifying_and_grid,5,1.0433777577484828,1.0273443317197974,-0.016033426028685405,10.143290599924512
2019,21,Abu Dhabi Grand Prix,tyres_and_pits,15,1.0433777577484828,1.050175702996054,0.006797945247571047,9.218233299907297
2019,21,Abu Dhabi Grand Prix,weather,18,1.0433777577484828,1.004320057548632,-0.03905770019985089,8.506786999991164
2019,21,Abu Dhabi Grand Prix,race_control,3,1.0433777577484828,1.0470145193274705,0.003636761578987624,9.120594500098377
2019,21,Abu Dhabi Grand Prix,drs,5,1.0433777577484828,1.0050064431025167,-0.038371314645966104,8.632248800015077
2019,21,Abu Dhabi Grand Prix,identity_and_circuit,6,1.0433777577484828,1.0031552915197037,-0.04022246622877912,9.059332099976018
2021,3,Portuguese Grand Prix,position_state,9,0.903903229012176,0.8932350802470906,-0.010668148765085372,9.776844599982724
2021,3,Portuguese Grand Prix,lap_and_sector_timing,32,0.903903229012176,0.9428714976159576,0.03896826860378155,6.623560899985023
2021,3,Portuguese Grand Prix,gaps_and_relative_pace,37,0.903903229012176,0.945015186104046,0.04111195709186999,6.044913399964571
2021,3,Portuguese Grand Prix,driver_and_team_history,15,0.903903229012176,0.9023178170351639,-0.0015854119770121189,9.488189600058831
2021,3,Portuguese Grand Prix,qualifying_and_grid,5,0.903903229012176,0.9157174008630194,0.011814171850843436,9.773514600005
2021,3,Portuguese Grand Prix,tyres_and_pits,15,0.903903229012176,0.9488063029054647,0.044903073893288736,9.75701990001835
2021,3,Portuguese Grand Prix,weather,18,0.903903229012176,0.9076543115155902,0.0037510825034141604,9.07118970004376
2021,3,Portuguese Grand Prix,race_control,3,0.903903229012176,0.9098028815664561,0.005899652554280044,9.912878599949181
2021,3,Portuguese Grand Prix,drs,5,0.903903229012176,0.924948252931339,0.021045023919162964,9.340486299945042
2021,3,Portuguese Grand Prix,identity_and_circuit,6,0.903903229012176,0.887016628130405,-0.016886600881770963,9.790486400015652
2022,2,Saudi Arabian Grand Prix,position_state,9,1.0061783402093734,0.9904577686289283,-0.015720571580445042,10.20643859996926
2022,2,Saudi Arabian Grand Prix,lap_and_sector_timing,32,1.0061783402093734,0.9684272155882324,-0.03775112462114094,6.708652999950573
2022,2,Saudi Arabian Grand Prix,gaps_and_relative_pace,37,1.0061783402093734,0.9182763352655685,-0.08790200494380485,6.392535999999382
